match_id,puuid,placement,level,last_round
NA1_5435349627,9XqCVIEtLCVsq9Nz_hr6e9xaCL2E5blUwNgS3j_wgFNU616tAcNCSR3lRsxtFv3yJvb4gFQA3R-rOA,7,9,27
NA1_5432168991,qpySrBPHPul2VtJgRN43eYlbFuMkIiZeEwwuODGT6hDEc14o8PrTMkX4QR-HYZyCCdWpI6jIssaUiQ,2,10,34
NA1_5432168991,qkR1C5krKy5FSFWVMCBI099vhyLrctAYCkxmnBVe0PYww1MjKlWfhP0sGHYNNpOPavs5YM3XbH6u6g,1,9,34
NA1_5432168991,IR7K5PK1-2zSy2KCyypHh8_6N51HkWbTQUWVFeFIHUpMnxg3IL1ww9XID1nt_xMlKM7y76YFusDJLw,8,8,22
NA1_5432168991,Tu_PiW47rZqBZlmuN51Db6n8hA86yvfqJ_0w5T0jKr9jZ5pr0dA6U8h-_Zhk5bsazCbnlWGU7kPcFw,5,9,28
NA1_5432168991,C0V7VwuvWE9GOfLOhWIopxDjXGqkadzo3ef63NpyN9m-cxFUCUtLbxo2NDUg0idlPdLv9QQgbX8-OA,6,9,27
NA1_5432168991,hf__ra6ZiDX0C3Vtx7uW8gST2h8T1UwYK4rannfxX5MlKhUOuREXcTgK13jDFVYNCw6N0vekkGMBpg,7,8,26
NA1_5432168991,ubqyKqvBe4KMZZA8RPQlZiL8ntqjcQD2_iffroXYWPvgwsAZ0Hu5k_yeX0oJDBtlQ__MLCoqoH_QhA,4,8,30
NA1_5432168991,mEOFFuSgVsJcu7HhdhREs5IzLO0tJL07MGc89kWFmpQJLjecZYD-d5lBv7cDaIpQKX13UZF6WeaoMA,3,10,34
NA1_5430737381,amd3qlkNzJm2pt6LpKeS19uEDgJrH8nYWxOWxvrkbsXO1oFHvYcSFF4pbxRwfRZgo2iyi-HF7WcfWw,4,9,33
NA1_5430737381,89xe1KZd-Qg7ulVifPqRroXNQj17eahEtdTKKhJ80xLz7poznPz1iEC3HXl-i_Vm0Arrrd-GpJ7C5Q,1,10,41
NA1_5430737381,wp0I-Gp73k9kSPDWYM-cGPXJNH_VJv6ndeyUh5RPSeevc6aBjFv3I17UvhvKGm5vutWOo7pJ6tn2vQ,7,9,26
NA1_5430737381,0XDrr4BDQegF6nZ0aGwwG2KkJ9h8AkAkWAVM7JgtVdJa0GBZ9RCSy0YsmPyjJtI3az3d4__jGYuW8w,2,10,41
NA1_5430737381,os2XidA2_zFlV6BstPcihSVQLAqNJV488e7BsjLnx7MP3xyqiFZOLAtPFPokUjImYovjTn-rZnql-w,3,9,37
NA1_5430737381,PvYc2PU1F3XQCTrCCXBKXecbJwutwdbdeIP79T2qfpFSQjfLoWJuwaZJm3_TclP13uUYXD6dxnvtmg,5,8,27
NA1_5430737381,9vJBZOxjSF0X5Hd3oLzy20EU_NxyZLR8quSLmRUC3wKEbcrp4W8EXchlhkUvoutSwfuMaMPxLR6hWA,6,9,27
NA1_5430737381,txIM9hZooNk2bFXr_5Fxn2FxVnvyv6NcMBt0_MYFdb_bAvmDsTuXlnGO8qY3FE-gq7zF_rdZTYucZw,8,8,23
NA1_5434996056,HxBVWsoU25JMPj89b_mqXtHTXmjC-yEpsNw7tF8GONTcSZjMk2QpM_bNoZE58prE31Zd3-QU_snqXA,5,8,31
NA1_5434996056,tvuTlDkVBuSfLD1om2unkjKbA8_PB6YmAroeu4x_7hHKVm3KyqAlPEWXiyYq_VEH595VIMoStHhzSQ,3,8,34
NA1_5434996056,1Wh-WDrtJPEbogLGfEDws0yDfwvWFPt5Q8c8qvEnee-iXUj3ujLvrE_oScwQiTmml5Eqd4ON2mIDng,7,9,30
NA1_5434996056,6NqnviE-hp_uVkUjvkZZYqv6wp8c4FzXcKbQh9KnHDnpZd8iOhPm4DA1rOeSG6SpPLtU2wFEcxUkAg,6,8,31
NA1_5434996056,yjXX34eMP1dmmnKN7zWfvFS_6ahT3N5uUwGY3emj1BxFyiptWFQA_sw-fn1hVI2G54GTE4iHBix-Sw,4,9,31
NA1_5434996056,dleGSwAyBJqy0Y4lyo-xru_UEOwajuXUiYyhbpfvjmjHgeQziJ6QY6CdNmPFA9EoIHePpHp8fkBD7w,8,9,27
NA1_5434996056,mwujS7lBvn0dtUqd2gn9NukxZ7gYBvAA20MpmRatS1l-sAIP9cD2efQBM9Kf6M9RMPSXj4EDthSgdQ,1,10,35
NA1_5434996056,Fs8U3adE8x1hwcLJisJycqX197fjgjBSHNcQ1hnsmtetnY8uzXNU_xht9MUtQPaAx0y1Lp8EqCgnog,2,10,35
NA1_5435916282,zMDVvNubWdYJGHsbZYlxXnu0mu0u5jkEYHxKrN4Pzbhu0VxQegmD3d4SVqBFu22c5So-uXNGtbGiYA,7,9,30
NA1_5435916282,io77xhK_oSwFxhaBIz9lpInt_CW3zNoa1I362vz9VPX3vyFioEGsuygFVJhc2wUeSyWU7RpQ8v2X-A,3,9,33
NA1_5435916282,2Oy_P4jaBSPyjR8YBR-KX-bfowdwqqky7FwN0MM6feDn4l5SFr-qEGpQwQwwZK6wKYCLopEsFrclAQ,4,9,31
NA1_5435916282,oOW-4Ps_M88aENLbVm_b8kmJlogEBlFWD1B3olsg6xg9hDDlWnmUYn5tUzFnZjK5JQk9Is2UlFimVQ,6,7,30
NA1_5435916282,vTPqqWlbBCGm5Kr6k9fW8Kc5VllbfnwoyYgt4x3d3xrP31eFlzxBJBsIxqnMjvW6_3TDbGk2UwYgcg,5,8,30
NA1_5435916282,rjfsU7maKvAvwhqdQe2n0FAscfFgxxX8pgOyh45_Z9So0NvCAGGG58uaCAhQtYJqCwSOmANBDYCFfg,2,9,35
NA1_5435916282,zq4ONYeoITwkgwQ96-1ztQCk7e5QxuAeXZp5vra_NzPegDHO4YBcOSABi_Sy_pNygrIJ5bo4OXokXw,8,9,28
NA1_5435916282,EhHzhOEgdOkw3HwUQAPSQW4geU8yM3kx-3DeAlJbXLTrzJD8JiASppwPGu3_0azHEUBw7WaDQTFUwQ,1,10,35
NA1_5435604868,pZtPOMWhcRhD-Er10262mKtQktVdRuVMe22l7UOBZb-K9vyG_BXP4LMtwAgtsYZH48BDRApjV8Qbwg,2,10,37
NA1_5435604868,DSwvt60JAQXXvuinXjBazK__ySOQd1XjuD-0CIlkK1wiw-nrxltHv7ilcuk-JLSQvwy2SZm8R3mCjw,7,8,27
NA1_5435604868,KtAJPnkX-InW3x_v4cKCXH9eqeQjukfwrxU3Hno6MfM_uf2skap5Gr5UXmhTwC_EvkihyvILwSBbVw,3,9,35
NA1_5435604868,Xclj9GHAdNEUoOmBTvG9nKTGVpHaitZ-6K-hiIYQmbcL4lKnYVz7XMvIXdYYyY1hYbS1GrRmp_tfjQ,4,9,35
NA1_5435604868,6i98ybD91rHj4gtGfkG9CpuYNyO86x2YZEFgSWrYMdb2Hjt1uuI6D5HcmUpZbOUNCNtpGuQ2gPtUPA,6,9,27
NA1_5435604868,lCVkpoPGTVU8WlAeg3aJqRupXgjJHCuVYc3s7VQMQvNbcV2zkgXMpqwUPqxCnA2ZzZO2KVu_GwyqTw,5,9,30
NA1_5435604868,9BZMrRKwQtuL3pRW3WWPA8SR1i6ay7VYX9FAUwsgypBh60Q3gqThRqwTzP_MCrGb_t93B7ROR7MuPw,8,9,26
NA1_5435604868,qBYbjNQ-fv9Y551fn8suA_cjxxL3PeYaSxzTpkYxN7SXRLCSZR5xGAOwgkhf-xgzWXQvJ0CLiqdKOQ,1,10,37
NA1_5434702399,47x_lHW3_iV4mTDrYAia78HTt3hrpUOc2x54v2TgtR1Ky5y4AWe9kYvZOso_Oh7CXTteq8nNU3nLyw,5,9,33
NA1_5434702399,LoNzwwGg1USDDwp2P5_G0TYtbc3jfMPH94JCOvVd2QILOg010DBkpkKAmHwt8LT747EHK0Kdvr9Fsw,1,10,38
NA1_5434702399,sIsw1pKsivpyY-U4WOHSR9UqDv8PJPzYx-rApQdDMGN7W5M4R6USWmbPYifID9eu3l2Xp0TIdwHrOQ,6,9,30
NA1_5434702399,Yksnm50RZ7DZrpOjzCrLmuTR17c9tCWgJ23ioFpapTTboMjvBzjMJu32DUh8zkR7hsqZylwcPnvFow,8,7,28
NA1_5434702399,OEqgku6OS8Qj18uB98jY_XcYejxseOHepkXDziqnmZ7g6y-PrLhkzfjWMrvq0GLeYhwvCY8O_i8vbQ,3,9,35
NA1_5434702399,LTJdfJDfwWjJdLDvEH8OlliKWULOYF2fCgc1sER7rUGJnogzaXj85cvYZYDvcyBY7_SSvPR0r61xXQ,7,9,28
NA1_5434702399,cLx_iEeiSPou806Gjra1NgJcU1n0RlZGpLlWcyBoG1SZtBse_5Xu4OGmYg_SG-GZEMDxKIPfjHXDVA,2,10,38
NA1_5434702399,1zZbty_L_nCG3nkdK0FYj_urB6-_dvpcrNUU25Al7uBV1WWyM80UUfC-X44eKBJLeSlNbktARDYXAw,4,10,35
NA1_5436137785,txIM9hZooNk2bFXr_5Fxn2FxVnvyv6NcMBt0_MYFdb_bAvmDsTuXlnGO8qY3FE-gq7zF_rdZTYucZw,2,9,34
NA1_5436137785,gP6CpSyr1-QzQ0FDW6zSx-ezV8hk7Q7g4hPAZWwR4pa7DZjPTk2HB225TDbEl6LPYfY2bY3auQluXA,6,8,26
NA1_5436137785,Y38vOBYGmiQlkgLJgxw5jPMeXeTRReAm2ah1OJo18JUzK1KhXsTWdtc0rOhBJk7n3-llD3xtKKvsMQ,3,9,31
NA1_5436137785,yjXX34eMP1dmmnKN7zWfvFS_6ahT3N5uUwGY3emj1BxFyiptWFQA_sw-fn1hVI2G54GTE4iHBix-Sw,7,9,26
NA1_5436137785,Tu_PiW47rZqBZlmuN51Db6n8hA86yvfqJ_0w5T0jKr9jZ5pr0dA6U8h-_Zhk5bsazCbnlWGU7kPcFw,4,8,31
NA1_5436137785,nN9dpLUgi16axzeWMGca3pqVl6NRq2fw8Sl7Jj1gEUngLFcAOKvDuI-alQhGJo349h2K7VrmgWUE6w,5,9,30
NA1_5436137785,1VI9yUAT8Q68WuKQBw6uA_5GtL6yxH6KAyqOjerzbnnLuBicbJXtMCxfHskqD3uDPYY-rFVeQRXEuA,8,7,19
NA1_5436137785,HjYmvqt3p8tkX94zthZx0AMugiuGn3Y2eY3c_W2ZaUQr14RBix4Ug51C1V1ux4Jgp9Sl24-QKRxAEw,1,10,34
NA1_5434150149,FwobArWJq0Yvh53ydq5fCivxap9XPtTXRfL5WmWGBeJowThPJi8obxcsL5nZteZMFyK4i6x-S9lWqQ,8,8,24
NA1_5434150149,N84xr4sdUdAzXAR8uPvSfN0U5cL-DKxgTYnKUuKbZdUQU5FSg3k6cB58zv-WixR8bxtDiKudk_ShxQ,7,9,27
NA1_5434150149,88F0ueC1iQAS1fhOLOr8CmznbiLZM0bRZGONtKo9vHp6MMu54r67Yr7im5YtM2nkEa2Hm6qsAzgOKA,5,9,31
NA1_5434150149,MuIDOH1noa_mQtNCj61yZnAH-gJd9vaS7eoTTNs23_kj8xZARlZg-N6g2VGjzbSPhNLcrllM_TXibQ,2,9,34
NA1_5434150149,EEa3ELsDQN65E-mwoQaEWAngSJytTbMbcEXYmfobm4YJ4bg8IbxfwW1DveJVFC2ckR5GlC7-U3I4Yg,4,9,33
NA1_5434150149,kyyzyPx-mbkya0QxEpAFsLBML8CZllSMrrZtE-xKhshet3kNsi52-g7ungTbO7aEKzLzTXKygUNVDA,6,8,31
NA1_5434150149,txIM9hZooNk2bFXr_5Fxn2FxVnvyv6NcMBt0_MYFdb_bAvmDsTuXlnGO8qY3FE-gq7zF_rdZTYucZw,1,9,34
NA1_5434150149,ba6DkTi6yQ6_ER-rxe0AkAAqoEaQNupQ519C8y6QkhkNWRui5KvThqVkTjKXTlyqTPW0TacC41ki1g,3,9,33
NA1_5434504204,Tu_PiW47rZqBZlmuN51Db6n8hA86yvfqJ_0w5T0jKr9jZ5pr0dA6U8h-_Zhk5bsazCbnlWGU7kPcFw,5,9,33
NA1_5434504204,3hc7wNabUf_CRbIas0NtNE8E3MzUPEUyinoEDrXxunICKuWbWsku9ODny9QZMwRMkYKXkmJGRoYOkA,2,10,34
NA1_5434504204,3ZXIvblJucKsVT9LDJItlc4o5FesP6mO6kSZmIt6d6iO2E_8h-SUEmSOPaA5Rdt8xmraqmxWK5ovvA,8,8,24
NA1_5434504204,NgQsH1Xd2_ZlVTOHq4SL8yEVdH5evTzj6cM_nXD_3xnAo_jSdid0w7JEZFGaYJQMCdcluZRHd2ih7g,1,10,34
NA1_5434504204,j1KVBJUaFKB1Ss74AAydJ5vtnomwzZbIsJVgK6-lLxk0a4gq70Dg3-qEOS_c7rpnFfYRAmgv27O--g,6,8,30
NA1_5434504204,uOMjWQn5zLCbklgutPh1W9plSATmNc8NaEacZntv5uS5gEKkhggIZZK4PX0HrHMMZJkfnclN_-xE9Q,4,9,33
NA1_5434504204,cLx_iEeiSPou806Gjra1NgJcU1n0RlZGpLlWcyBoG1SZtBse_5Xu4OGmYg_SG-GZEMDxKIPfjHXDVA,7,9,27
NA1_5434504204,fuaB2CKnUmqqTcNPSqAOR6U7UmvzYzlB2Gjmce8PHqFocK7V-Wtpa_spqAdlRz9uNjDL3MuBDg8njA,3,9,33
NA1_5431564994,ntqVcgsOggt9IqOZSzhD6IBHxlMv9PxakNnyX4jkSLdKbLTFUw-shdranDrkvrQMr3OhQTvp4riwaA,5,9,30
NA1_5431564994,omY8PD4O5i-86XbDWCawARIVjXUgHwIgKGZ-LPbH2eNGbY1aC9Vb_JxJnmYgtqFpGQFPO86C3C7f8A,1,10,34
NA1_5431564994,fAWIRneDP4V20SUD_y3EjPD14COO8j6WWFyH6Tt6bLlZhBfIBoJtpaV5hkFs9kWGI8SoGTJjs3Y90w,4,8,30
NA1_5431564994,0KCKsD8XjbGZ5U5_xCKkdpiNOvZmnyWy2ln1SIqH2lS0HznRAmR0e-e46v00eDX1kM8goSR6H_lUZw,8,9,24
NA1_5431564994,4-A4Dj38jV5F2UbcEleGOMZaAffRplO-CwVNZLTe3Ml0VJFqhJW8Xj9L3VOlTRIlm1SRwuRYOB_F5Q,6,9,28
NA1_5431564994,EtC5BIy4VCPFiiX3S77sRvflbDcWXP5SvPEIsT2CmPL7eM3KeKyWXFfzoxmEipEiMtbgCrLQAUkd-g,3,8,31
NA1_5431564994,vTPqqWlbBCGm5Kr6k9fW8Kc5VllbfnwoyYgt4x3d3xrP31eFlzxBJBsIxqnMjvW6_3TDbGk2UwYgcg,2,9,34
NA1_5431564994,VtqXOHUm3sMeknAwXqpkGgiWPGZ7gMxtkCVHRYT4yq8SrRWtX9jTal49QELateD3eRHSXjZkkj7NfQ,7,9,27
NA1_5434887067,lCVkpoPGTVU8WlAeg3aJqRupXgjJHCuVYc3s7VQMQvNbcV2zkgXMpqwUPqxCnA2ZzZO2KVu_GwyqTw,6,9,27
NA1_5434887067,B0F5F-Cz2wlZaVCEmRg_Z2A1iaJ-pCxYkBzDSYnASoHhimY7U64Dp71-0TVPQuJCM1OSVie4Zw4eeQ,1,9,35
NA1_5434887067,gP6CpSyr1-QzQ0FDW6zSx-ezV8hk7Q7g4hPAZWwR4pa7DZjPTk2HB225TDbEl6LPYfY2bY3auQluXA,7,8,27
NA1_5434887067,uqrP4wCyAQFckWBYQNJo-5DIqmbTfL0BH3c36oh5yIT81C2nv7LDR5gD_DuHw70LnO2sFXPZzDr8Hw,4,9,33
NA1_5434887067,LaME_AFIBxEHGAg-c7InlkBdEBTpYcLeYs34YCT-TqlDpIXwpzt0F1elukKRj3xawNAluvlK1mAfWA,2,9,35
NA1_5434887067,ldfNsTj2klIjO2a8Zi5rvePLMCpH6idGuSKJSd3_lty2ZRNqR4WslWJR_viOeGCHj1ysjohlwl4TVA,8,6,13
NA1_5434887067,SBj-o1BnaSaMX48Ht9Z7n7vFmQvbNJcCVfUF7JrmbNRp-qWvr6pcfeOvR8V1em4VPqrDa0N9fGBmTg,5,9,31
NA1_5434887067,txIM9hZooNk2bFXr_5Fxn2FxVnvyv6NcMBt0_MYFdb_bAvmDsTuXlnGO8qY3FE-gq7zF_rdZTYucZw,3,10,35
NA1_5434632699,AqDrzFRrr1J7xEnTNFZ_x2oxzTG5bNebddvgRHts5LdOr3w-rfD-qCqtK_gF_-c7QJxRRMfPDvZT_Q,1,9,34
NA1_5434632699,SrxGwMmp2OegzVaN6o6sKlVydBROGcQsEaucc77NGzKw5gkVB7yTgEpxpw6rI7x_rPdeXTAgL3UsWg,5,9,31
NA1_5434632699,j1KVBJUaFKB1Ss74AAydJ5vtnomwzZbIsJVgK6-lLxk0a4gq70Dg3-qEOS_c7rpnFfYRAmgv27O--g,8,8,21
NA1_5434632699,8ExLaFWGv6ug6J9yLAW7okQW3S6lfOCVu6g8eOEU-jggPzvbla542b23NhwN2ei_1XyDXKsX3TwI9Q,2,9,34
NA1_5434632699,uvSJiToy2NLomJuONe_uBp-4HNBIlHAQ2hk0w7ijPcThG7lwkhu3fYEK0fIRe5aCGz8MbdktLJTP3g,6,7,31
NA1_5434632699,Br68EIvAlx8LcdNSCAuRSozkT_TqYTgd6pdrRGcimKffk3Pyj3ktCGh7H3s6uDqirzvUl6VS7lBz7A,7,9,28
NA1_5434632699,q_SdJgYCQFRvdokd-sZNucx7MqfzRKK01N040pIfZXhkJdeGUTMN5Jk_yjO2byzn4_B7YTPWjkjCGA,4,9,33
NA1_5434632699,LaME_AFIBxEHGAg-c7InlkBdEBTpYcLeYs34YCT-TqlDpIXwpzt0F1elukKRj3xawNAluvlK1mAfWA,3,9,34
NA1_5434967151,gXAR7FTH9YEDEPJjAcUkHyzwA6FqpouexHLQ92SYtJrio1gP3YGWnS2kXen8GWdgfyI4sPA-JZf80A,6,7,28
NA1_5434967151,yrVdwwA-E1ci8pynpLDUS1dk2Lg3FGAleJ2K_XJB-T8fmiIlUmkwvMATwg3mID9nu8GITi38vg8jjw,2,9,40
NA1_5434967151,02CMbjpzdicGaILF32XVPtEcrWlAn7HTFifXcEae0n3vxxU_8ESAPZuXS6Fxh0LCuxIX1iYcv2n_Dw,7,7,28
NA1_5434967151,D5NgiML3i-cAth8vvV8Vw6yOZBFzZJ6P1LBCViVvE_CGEBW5pU-fiUJeIkM1h5mGYnt5rGh94YragQ,4,10,33
NA1_5434967151,YOo746HEDhP5EVNvfUQkDV31SUnttK89zYgzRFH9ARyLQ8evY5Obvyuxq9Rg5qQHBfg4kZ2n59ftvA,8,6,21
NA1_5434967151,77mc92wtUnYjv5_D5mMqZB91rT8kjzv8-wut5NWeuAld6EZwU8jLGkgqjSHTgYSYPvEo75649Xx37w,3,8,37
NA1_5434967151,7QqMA1mE_02dyJwLgK940bDg-gHl-xa5GMmtyOGffhWXZVlMHmQhs-dPjOJGft3CpED9iSlN-mBB1A,1,10,40
NA1_5434967151,KbsKfnaMJnewy55-WAxvqkfd0bKwiJJ96p6WByBjk79rSPK5EtsgEr7JiQ5S84xU-ZV9p3kqwvpeuA,5,9,30
NA1_5436094005,lkMXDzE6EZCdPyNjjoy_SxspC7cjgzDGMKYB-VK4lqPyNJMobe9fdnAAicbvGxuHuFWKm40dc0iCyA,2,9,37
NA1_5436094005,9XEscayg93TMdRDJdOma_5P3BAbMRlZziwx8tssXXKPuREckB1j2J_givJZKaisrtp2MQp76I0pcPQ,1,10,37
NA1_5436094005,n4OgUhuX8HqR7UySHv9v83kBzravOzIkAlwDfEYvn-D7zSY4SuHhuzBvupvmKKgPjBXVDXzNN1lxXQ,5,9,30
NA1_5436094005,_BRADYvJ5Vx0Uz_eJtZ6p-T7BiE_oVkMT-sFP72q747gXqW6d4iaWt_F4VNdinKbPNs-OhAOQh5gTQ,4,9,31
NA1_5436094005,wXHOBZ1PU3vOuk7TTfzDyYXnsG-GWFgo-ywrFd2jbIGdhpcxnpl3AtjJXImteMVy1vK59ekmeI-wUg,7,9,27
NA1_5436094005,8t8D_vWLL432sPdqxyDb_zQnsJXkglkxWzxda3k8FMkW9IX29CP_FtO3nypAKJRRvurCWwlHbAsnLw,6,9,28
NA1_5436094005,DKgtocx5Leb68OPm2fL4HxamEcyFkQ_Ra1iWjFenLjyfzoDxaqrUt5_nB7JJnIzuOdkgfdyGQIR5HQ,3,10,34
NA1_5436094005,OqBcJ10ZiIs-baPBHKI0MQpv6KqMGLpOpe-DrgVxDnONNbrCtNtgDMy7zL8YGyhdZolxhpbB21C0Qw,8,8,27
NA1_5434653735,v-Xfofpi1rCdoDotdLM_3w9_JDrv3p7bJ8o2nn0kMYlthT__i7FXfaDdIepmVbkOF_TTvrQiWOtDAQ,7,9,28
NA1_5434653735,d3TUWWnWfziT7Mx4z12nU--KGPpGsGqG1OiiSSHOgLX6Iww4yoZntyS6VdVkhTaAtqo31q6rxEcG5w,6,9,30
